"REF_DATE","GEO","DGUID","Commodity groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","95.3","","","","1"
"2006","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","101.0","","","","1"
"2007","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","100.0","","","","1"
"2008","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","107.7","","","","1"
"2009","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","124.2","","","","1"
"2010","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","123.3","","","","1"
"2011","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","117.8","","","","1"
"2012","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","123.5","","","","1"
"2013","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","127.3","","","","1"
"2014","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","133.4","","","","1"
"2015","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","138.1","","","","1"
"2016","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","137.1","","","","1"
"2017","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","144.0","","","","1"
"2018","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","148.1","","","","1"
"2019","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","159.0","","","","1"
"2020","Western Canada","","Fresh potatoes [A16]","Index, 2007=100","181","units","0","v66450137","9.8","161.5","","","","1"
"1992","Western Canada","","Total livestock and animal products","Index, 2007=100","181","units","0","v66450138","9.9","95.4","","","","1"
"1993","Western Canada","","Total livestock and animal products","Index, 2007=100","181","units","0","v66450138","9.9","105.6","","","","1"
"1994","Western Canada","","Total livestock and animal products","Index, 2007=100","181","units","0","v66450138","9.9","102.7","","","","1"
"1995","Western Canada","","Total livestock and animal products","Index, 2007=100","181","units","0","v66450138","9.9","98.0","","","","1"
